,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,603788.XSHG,2015-04-22,39.95,39.9473,5.69,6.61,940.56,603788.XSHG,5.31,5.26,3.75,16.25,31.3,80.96,19.04,16.25,4.21,6.85,-0.24,99.48,0.0,98.94,79.07,-21.08,-110.7,18.17,7.64,18.17,7.64,20.54,29.38,15.15,-13.68,15.15,-13.68,1
0,603788.XSHG,2015-08-19,58.44,60.5985,8.86,9.61,84.1,603788.XSHG,6.0,5.58,4.19,16.53,29.63,81.88,18.89,16.53,5.14,5.48,0.14,93.66,4.02,93.05,95.34,4.33,23.88,24.24,9.03,24.24,9.03,12.95,8.21,52.0,10.87,52.0,10.87,-1
0,603788.XSHG,2015-10-27,29.6,33.8433,4.95,5.07,-167.03,603788.XSHG,5.01,4.52,3.55,16.87,30.16,81.95,19.7,16.87,4.27,6.83,0.03,90.97,8.31,90.29,108.04,7.31,40.53,7.81,-16.11,7.81,-16.11,1.33,-12.55,17.19,-14.36,17.19,-14.36,1
0,603788.XSHG,2016-03-30,47.83,56.5523,7.96,8.33,-197.56,603788.XSHG,5.64,4.84,3.84,17.61,31.01,82.71,19.27,17.61,5.43,7.55,-0.01,85.73,9.83,85.84,73.37,22.51,130.22,11.34,13.08,11.34,13.08,35.46,10.65,-3.24,18.05,-3.24,18.05,1
0,603788.XSHG,2016-04-28,39.12,39.1195,6.02,6.58,210.42,603788.XSHG,5.14,3.97,3.75,19.46,31.32,82.49,18.95,19.46,4.37,7.62,-0.01,77.02,6.33,77.16,93.93,-2.41,-13.75,20.18,16.19,20.18,16.19,19.61,14.23,43.89,28.38,43.89,28.38,1
0,603788.XSHG,2016-08-05,53.38,58.9865,8.57,9.45,202.42,603788.XSHG,4.8034,4.7106,3.5445,17.67,33.065,79.46,20.5993,17.67,4.8693,7.3091,-0.6025,99.0065,0.2863,98.0681,107.249,5.2023,25.3275,13.3822,2.8705,13.3822,2.8705,23.6128,11.8324,21.2247,-6.593,21.2247,-6.593,-1
0,603788.XSHG,2016-10-29,45.22,52.5146,8.07,8.13,49.95,603788.XSHG,4.9219,4.4765,3.6181,18.7296,33.2536,79.8829,20.3787,18.7296,4.9783,7.9728,-0.6158,91.311,1.1874,90.9503,115.2539,28.7493,142.9099,30.5786,-3.3907,30.5786,-3.3907,35.1043,-4.4256,44.9551,2.4024,44.9551,2.4024,-1
0,603788.XSHG,2017-03-31,42.09,53.568,7.74,7.74,29.91,603788.XSHG,5.6531,5.1599,4.0716,17.5944,32.4764,81.7599,19.5314,17.5944,4.9205,7.9166,0.7256,90.8734,6.4332,91.2748,52.8961,6.2064,34.0262,51.6236,31.3095,51.6236,31.3095,53.659,25.8502,51.4694,23.3508,50.1971,22.3147,-1
0,603788.XSHG,2017-04-28,34.76,34.7603,6.59,6.35,68.63,603788.XSHG,7.0248,5.9153,5.0247,20.5582,32.8608,79.982,20.971,20.5582,4.172,6.3869,-0.0447,84.0147,3.9997,84.2064,85.376,-4.436,-22.1601,50.3808,15.2356,50.3808,15.2356,66.4314,23.7292,58.8653,34.6472,56.1672,33.4816,1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,603789.XSHG,2015-08-20,63.46,63.4553,7.35,13.88,219.85,603789.XSHG,4.19,4.19,3.13,14.41,21.57,86.38,16.8,14.41,1.9,6.31,-0.46,79.82,18.62,,110.47,-5.3,-38.94,,99.93,,99.93,,39.72,,38.97,,38.97,1
0,603789.XSHG,2015-10-28,60.19,46.6756,5.4,10.45,-190.49,603789.XSHG,4.68,3.68,3.6,18.05,28.82,83.57,20.12,18.05,2.46,9.35,-0.35,78.37,17.62,78.66,87.95,-28.43,-173.1,24.29,-13.04,24.29,-13.04,-4.22,4.14,-1.98,8.89,-1.98,8.89,-1
0,603789.XSHG,2016-04-20,90.73,69.8151,8.41,14.59,-142.93,603789.XSHG,-2.04,-2.7,-1.63,-59.01,6.26,192.92,-73.34,-59.01,62.27,46.24,-4.6,129.82,-27.36,,247.37,-122.13,131.44,-40.27,-86.81,-40.27,-86.81,-401.91,-148.08,-1059.6899,-143.12,-1059.6899,-143.12,-1
0,603789.XSHG,2016-04-29,69.81,85.2799,6.47,11.22,-109.97,603789.XSHG,1.82,1.1,1.47,17.62,23.51,87.32,17.69,17.62,1.21,9.81,-0.64,60.93,24.08,60.34,109.3,50.51,398.32,-8.97,297.0,-8.97,297.0,-33.01,195.77,-22.67,218.52,-22.67,218.52,-1
0,603789.XSHG,2016-08-27,79.68,74.1258,5.6,10.24,-153.05,603789.XSHG,1.6577,1.2552,1.7061,13.3507,26.65,86.7345,14.9873,13.3507,3.265,8.5076,-0.1815,83.301,10.8125,75.718,80.816,35.7247,269.3062,-21.2316,72.9922,-21.2316,72.9922,-29.7285,46.5548,-27.0441,31.105,-48.2731,-7.0444,-1
0,603789.XSHG,2016-10-29,97.13,70.3137,5.23,10.64,-19.27,603789.XSHG,1.4708,1.0624,1.3292,11.4599,24.9528,89.2943,12.9892,11.4599,2.8356,10.7609,-0.3743,77.204,16.468,72.2283,80.3077,-8.1141,-75.7924,-15.3762,-6.5765,-15.3762,-6.5765,-45.3647,-19.0315,-46.2726,-19.8073,-56.636,-8.7123,-1
0,603789.XSHG,2017-04-22,153.28,70.2376,5.04,11.36,-46.13,603789.XSHG,-1.7706,-1.7789,-1.2112,-33.9752,34.5832,149.7173,-45.5768,-33.9752,18.4637,47.3235,-0.8487,129.5317,-10.7875,100.4713,197.1215,7.9797,-16.0501,103.2037,-68.3291,103.2037,-68.3291,-26.2835,-211.127,-16.9953,-193.8945,-20.9983,-220.3144,-1
0,603789.XSHG,2017-04-26,143.69,66.1269,4.72,10.65,-43.25,603789.XSHG,1.346,1.205,0.9514,9.296,20.8122,89.9724,10.9377,9.296,1.6409,9.6196,-0.8092,89.3561,8.1098,89.5228,110.4595,7.3082,72.8806,50.0776,193.2061,50.0776,193.2061,-7.2125,170.3645,-20.8043,180.2246,-23.4279,175.0007,-1
""
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,603798.XSHG,2016-08-03,73.99,76.5447,9.23,8.75,14.05,603798.XSHG,4.0146,3.9949,3.1468,14.8109,36.2673,82.6237,17.3763,14.8109,9.037,8.8274,0.0535,99.1401,,99.5085,107.9566,-10.1515,-58.4216,26.1955,-5.799,26.1955,-5.799,41.2081,-6.2272,43.1673,-7.1786,43.1673,-7.1786,-1
0,603798.XSHG,2016-10-26,59.1,67.1998,7.78,7.29,17.07,603798.XSHG,4.842,4.7764,3.9956,16.0935,38.1618,80.6647,19.3353,16.0935,7.2547,10.7397,-0.1426,98.6914,,98.6442,130.4609,31.5675,163.2635,18.9132,16.0283,18.9132,16.0283,22.8318,29.109,23.5125,26.0764,23.5125,26.0764,-1
0,603798.XSHG,2017-04-27,62.54,76.4968,8.41,7.9,18.45,603798.XSHG,2.4109,1.8985,2.0112,9.0607,35.0163,94.2358,7.787,9.0607,10.8391,8.2338,-0.2409,75.1305,,78.7483,87.3757,18.7072,324.5398,8.2744,-8.3427,8.2744,-8.3427,184.0405,-63.0866,163.003,-48.3968,163.003,-48.3968,-1
0,603798.XSHG,2017-04-27,52.01,63.3779,6.99,6.57,15.34,603798.XSHG,5.9343,5.812,4.861,16.7263,35.1305,78.1393,21.8607,16.7263,6.8915,3.573,-0.1917,97.941,,97.9393,115.3558,23.3976,107.0307,39.2964,39.0443,39.2964,39.0443,74.4482,290.3449,55.0075,156.6813,55.0075,156.6813,-1
0,603798.XSHG,2017-08-10,41.1495,47.2633,6.9271,5.9376,-42.6551,603798.XSHG,3.4649,3.4517,2.8378,13.8034,33.4314,81.5284,18.4716,13.8034,7.5407,7.2786,-0.389,99.623,,99.6202,90.1273,-27.1152,-146.7938,6.2898,-28.1201,6.2898,-28.1201,12.9894,-39.2637,-0.9406,-40.6813,-0.9406,-40.6813,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,603799.XSHG,2015-04-28,82.73,74.2915,4.1,2.59,129.32,603799.XSHG,0.66,0.4,0.18,1.38,17.22,98.38,1.56,1.38,1.71,5.12,7.02,71.86,-2.81,60.44,80.59,-29.89,-1843.92,16.56,-2.58,16.56,-2.58,-55.49,-75.81,-52.6,-44.27,-46.41,-40.7,-1
0,603799.XSHG,2015-08-28,108.33,97.9264,5.52,3.16,92.67,603799.XSHG,-0.08,-0.32,-0.05,-0.38,17.0,101.01,-0.81,-0.38,1.72,5.76,7.43,223.6,-44.54,,99.84,-8.77,864.61,-16.02,0.68,-16.02,0.68,-118.66,-152.48,-110.54,-127.48,-104.78,-111.88,1
0,603799.XSHG,2015-10-29,81.86,50.3621,2.84,1.7,134.7,603799.XSHG,-1.78,-1.75,-0.52,-4.21,13.32,104.06,-4.13,-4.21,0.88,5.61,6.59,101.54,1.81,,88.42,-22.74,560.07,-2.18,2.03,-2.18,2.03,-176.11,-419.26,-197.45,-1040.27,-189.62,-2148.46,1
0,603799.XSHG,2016-03-23,-8438.4805,96.3065,5.43,3.27,74.56,603799.XSHG,-9.37,-9.68,-2.51,-26.27,-7.26,134.12,-34.55,-26.27,2.5,6.85,9.14,102.09,1.29,,119.54,24.24,-71.04,-22.88,-22.94,-22.88,-22.94,-524.83,-544.39,-939.4,-380.64,-898.66,-404.35,1
0,603799.XSHG,2016-04-29,-45.9,-45.9039,4.73,2.8,38.28,603799.XSHG,-1.47,-1.95,-0.39,-3.55,11.06,104.41,-3.22,-3.55,1.02,5.7,7.25,140.06,-37.64,,75.5,-9.41,213.41,-0.07,26.23,-0.07,26.23,-306.89,88.22,-356.86,82.95,-316.51,83.93,1
0,603799.XSHG,2016-08-30,-67.03,-81.1695,8.48,4.94,-113.2,603799.XSHG,0.1523,0.5806,0.0088,0.0777,15.9455,100.5885,-1.9175,0.0777,0.9778,6.2718,8.1361,32.3572,73.0646,381.2579,106.8682,19.3546,-3288.573,4.9945,5.7801,4.9945,5.7801,-147.9587,37.1063,121.6528,102.3165,288.9751,110.3671,-1
0,603799.XSHG,2016-10-29,-50.34,-59.153,6.1,3.6,-74.66,603799.XSHG,1.7516,1.5949,0.4047,2.9593,13.6513,97.7458,3.7752,2.9593,1.4937,4.6297,6.2086,57.811,39.008,91.0509,100.7702,4.6806,207.6367,22.2368,18.7876,22.2368,18.7876,211.6797,333.8726,185.8771,4422.436,198.6227,1073.4323,1
0,603799.XSHG,2017-04-01,-100.85,-84.3229,8.5,4.81,-238.76,603799.XSHG,1.7095,1.9858,0.553,3.9583,23.0781,91.3223,5.7984,3.9583,1.5895,3.7892,6.7709,138.1688,-45.8448,116.1631,118.1807,56.6837,653.2102,68.0475,5.945,68.0475,5.945,128.2015,62.7221,125.32,41.7123,126.7374,36.7335,-1
0,603799.XSHG,2017-04-28,-149.05,-123.8341,7.06,7.1,-352.86,603799.XSHG,5.6251,5.6238,2.2993,14.2396,31.0485,80.5604,19.3502,14.2396,1.1442,4.2166,4.2661,100.0001,-0.4597,99.978,74.7149,-9.3733,-48.2175,66.0053,24.7,66.0053,24.7,1096.0358,316.1423,765.9899,348.5904,820.9704,333.4396,1
