,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,600511.XSHG,2006-04-18,20.25,20.2522,1.96,0.44,31.69,600511.XSHG,4.93,4.93,1.87,3.46,9.54,96.07,4.95,3.46,1.54,3.06,0.22,79.46,20.77,,103.66,-7.0,-178.19,22.83,15.14,22.83,15.14,28.28,174.43,40.05,367.92,37.71,233.09,1
0,600511.XSHG,2006-08-02,38.23,38.2336,3.68,0.83,59.83,600511.XSHG,3.98,3.98,1.53,2.83,9.97,95.6,4.76,2.83,1.67,3.28,0.31,92.21,7.56,,117.19,11.47,260.61,25.16,0.46,25.16,0.46,93.64,-3.47,81.4,-17.96,63.01,-19.11,1
0,600511.XSHG,2006-10-18,42.93,42.9336,4.13,0.93,67.18,600511.XSHG,4.29,4.29,1.67,2.97,9.32,95.94,4.39,2.97,1.58,3.05,0.17,92.64,7.59,,108.92,2.1,51.8,18.2,7.9,18.2,7.9,97.05,-0.46,106.38,13.41,84.54,10.11,-1
0,600511.XSHG,2007-04-25,45.97,45.9701,4.25,0.99,71.94,600511.XSHG,2.92,2.92,1.13,2.19,8.07,98.06,2.41,2.19,1.97,3.9,0.24,83.91,20.59,,123.32,10.82,558.95,16.18,-6.91,16.18,-6.91,34.69,-48.92,198.77,-31.38,107.72,-29.99,1
0,600511.XSHG,2007-04-25,70.02,41.6867,6.12,1.51,109.58,600511.XSHG,6.26,6.26,2.51,4.43,10.1,94.2,6.47,4.43,0.92,2.4,0.19,89.64,10.33,,104.3,-6.61,-113.94,22.57,21.47,22.57,21.47,60.03,226.05,56.84,145.65,48.35,137.88,1
0,600511.XSHG,2007-07-30,54.08,61.1153,8.42,1.74,125.17,600511.XSHG,6.12,6.12,2.29,4.05,9.92,94.56,6.25,4.05,1.53,2.21,0.35,86.93,13.02,,109.35,11.9,218.97,24.18,1.78,24.18,1.78,63.04,-1.65,78.09,-6.84,78.91,-2.44,-1
0,600511.XSHG,2007-10-23,56.28,74.272,10.29,2.01,237.29,600511.XSHG,5.49,5.49,2.11,3.54,10.49,94.91,5.65,3.54,1.71,2.74,0.27,91.53,10.04,,107.54,2.91,57.16,28.7,11.83,28.7,11.83,65.59,1.09,53.34,-2.35,49.84,-7.78,1
0,600511.XSHG,2008-04-30,64.27,93.2763,12.25,2.36,309.1,600511.XSHG,3.78,3.78,1.45,2.65,10.48,97.11,3.53,2.65,2.05,4.78,0.54,81.31,17.91,,115.17,0.58,20.0,32.96,-3.83,32.96,-3.83,94.81,-39.91,60.63,-28.12,52.98,-28.52,1
0,600511.XSHG,2008-04-30,62.82,58.8395,10.5,2.31,302.12,600511.XSHG,6.68,6.68,2.53,4.54,10.22,94.34,5.97,4.54,1.43,2.17,0.48,94.92,5.16,,108.1,-9.78,-172.8,26.74,15.79,26.74,15.79,16.89,95.64,29.95,98.74,27.79,98.71,1
0,600511.XSHG,2008-08-05,45.86,49.4861,8.7,1.71,215.65,600511.XSHG,8.3,8.3,3.04,5.6,8.97,94.72,5.91,5.6,1.36,1.99,0.7,72.93,8.71,,113.92,15.59,295.35,26.65,1.7,26.65,1.7,19.77,0.77,74.89,25.37,64.1,25.29,1
0,600511.XSHG,2008-10-28,36.78,46.2174,8.13,1.5,204.5,600511.XSHG,6.11,6.11,2.31,4.21,9.03,95.02,5.4,4.21,1.47,1.9,0.49,93.04,7.91,,114.5,9.28,186.47,15.3,1.81,15.3,1.81,10.16,-7.02,36.98,-23.52,34.52,-24.4,1
