,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603022.XSHG,2015-08-19,69.94,69.9389,6.71,7.12,999.56,603022.XSHG,2.64,2.64,1.85,8.6,26.56,87.28,12.72,8.6,3.66,9.24,0.76,98.22,0.0,,118.22,32.61,256.32,,5.74,,5.74,,21.61,,20.89,,20.89,-1,-1,-1
0,603022.XSHG,2015-10-30,55.34,50.7744,4.87,5.07,10.79,603022.XSHG,0.56,0.55,0.42,1.75,13.53,98.02,1.98,1.75,3.62,7.87,-0.48,98.81,0.0,98.97,111.35,-7.96,-401.06,1.21,4.58,1.21,4.58,-83.95,-83.69,-81.27,-78.67,-81.27,-78.67,1,1,1
0,603022.XSHG,2016-04-11,109.29,79.4524,7.59,7.91,59.18,603022.XSHG,2.47,2.34,1.82,8.05,19.25,94.73,6.76,8.05,3.74,8.05,-0.33,72.0,20.39,94.81,110.19,36.02,683.33,-15.5,-2.81,-15.5,-2.81,-51.51,231.38,-36.18,346.0,-36.18,346.0,-1,-1,-1
0,603022.XSHG,2016-04-30,109.06,128.7205,7.58,7.89,59.06,603022.XSHG,1.28,1.0,1.1,6.94,23.35,93.06,7.24,6.94,5.93,10.01,-0.08,75.09,3.15,78.23,132.92,1.2,17.25,-12.94,-19.0,-12.94,-19.0,-43.06,-13.35,-19.69,-30.16,-19.69,-30.16,1,1,1
0,603022.XSHG,2016-08-19,135.95,128.547,7.33,8.51,73.14,603022.XSHG,1.9141,1.8871,1.6341,8.8564,23.2385,89.147,11.7435,8.8564,4.092,8.035,-0.4132,91.1204,7.4768,98.5888,96.9579,2.1665,19.9622,-2.488,18.4358,-2.488,18.4358,-9.9986,92.2202,0.4569,51.2123,0.4569,51.2123,-1,1,1
0,603022.XSHG,2016-10-28,140.31,132.8856,7.57,8.85,-19.87,603022.XSHG,1.9587,1.7941,1.6259,8.5725,21.5638,90.2271,10.8265,8.5725,3.4869,7.9934,-0.1387,82.9107,8.9387,91.5946,112.8375,3.9537,40.4558,-0.368,6.8546,-0.368,6.8546,443.7392,-1.4894,387.144,3.4291,387.144,3.4291,1,1,1
0,603022.XSHG,2017-04-28,116.5,138.8357,7.96,9.5,-142.88,603022.XSHG,0.0038,-1.0374,0.0031,0.0175,13.6567,103.0021,-1.5401,0.0175,3.8197,12.615,-0.9702,-282.7493,137.6939,-27286.1387,91.7873,-15.2529,508.0693,-1.5226,-3.9336,-1.5226,-3.9336,-122.424,-113.6662,-99.7859,-99.804,-99.7859,-99.804,-1,-1,-1
0,603022.XSHG,2017-04-28,113.0,138.2159,7.72,9.22,-138.59,603022.XSHG,0.9245,0.752,0.738,4.2703,20.6723,96.0576,5.271,4.2703,4.4222,12.1174,0.1049,62.2494,20.9779,81.3432,95.242,-29.2732,-742.5186,21.6556,0.0654,21.6556,0.0654,-11.3776,442.4637,-25.1076,24331.9414,-25.1076,24331.9414,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603023.XSHG,2015-08-10,44.25,44.2492,9.17,18.45,-62.54,603023.XSHG,5.82,5.1,4.93,36.17,57.9,58.71,41.29,36.17,7.06,13.68,-0.37,100.0,0.0,87.55,96.65,10.19,24.68,,13.4,,13.4,,18.9,,16.5,,16.5,-1,-1,-1
0,603023.XSHG,2015-10-30,43.54,37.1205,7.69,16.78,27.98,603023.XSHG,7.5,7.53,6.4,51.38,58.39,63.95,36.53,51.38,10.1,12.74,-0.27,61.32,0.83,100.33,72.06,15.54,43.11,1.32,-5.75,1.32,-5.75,-6.84,-16.6,-0.6,33.89,-0.6,33.89,1,1,1
0,603023.XSHG,2016-04-12,85.59,72.8351,14.32,32.82,-232.34,603023.XSHG,8.78,7.48,7.32,36.62,57.52,69.16,37.04,36.62,8.04,13.8,-0.21,75.08,15.1,85.16,95.3,26.21,84.97,26.82,71.69,26.82,71.69,92.98,74.09,42.42,22.37,42.42,22.37,-1,1,1
0,603023.XSHG,2016-04-29,93.03,83.6456,15.56,35.68,-252.54,603023.XSHG,5.41,5.02,4.89,49.13,57.77,56.56,46.5,49.13,4.8,8.24,-0.39,75.3,5.32,92.65,112.71,23.59,54.3,28.38,-30.04,28.38,-30.04,51.63,-12.17,79.16,-6.14,79.16,-6.14,1,1,1
0,603023.XSHG,2016-08-30,76.01,86.6913,14.37,32.31,107.58,603023.XSHG,2.8961,2.6782,2.6486,30.2885,54.1976,67.3967,35.6089,30.2885,9.397,11.102,-0.1516,90.865,8.3766,92.4766,129.1817,40.1928,123.2782,0.4508,-11.2734,0.4508,-11.2734,-13.363,-32.0619,-15.8778,-45.2998,-15.8778,-45.2998,-1,1,1
0,603023.XSHG,2016-10-28,61.03,67.6066,11.3,25.17,615.17,603023.XSHG,4.7,2.6551,4.3478,61.5137,54.4859,68.5402,35.9838,61.5137,11.4095,12.5596,-0.0315,43.4381,6.2466,56.491,130.3269,44.7039,142.0984,-13.1571,-18.5164,-13.1571,-18.5164,-14.4668,-17.6584,3.9769,65.4873,3.9769,65.4873,1,1,1
0,603023.XSHG,2017-04-22,58.94,65.8512,10.52,25.22,148.71,603023.XSHG,5.4909,4.9465,5.0773,37.1543,57.1931,70.5846,30.6826,37.1543,10.6341,13.9807,-0.8278,67.4505,2.9059,90.0862,89.7001,43.2823,147.1419,2.9589,103.5573,2.9589,103.5573,-14.7233,73.5689,4.4664,22.9488,4.4664,22.9488,-1,-1,-1
0,603023.XSHG,2017-04-25,57.66,64.5009,10.29,24.67,145.46,603023.XSHG,2.239,1.9076,2.0701,41.0298,56.6566,67.1547,39.8216,41.0298,10.9293,17.5061,0.0364,66.4034,14.1039,85.1999,167.1682,53.4738,162.8051,-43.5341,-61.6315,-43.5341,-61.6315,-51.649,-50.2033,-52.8433,-57.6293,-52.8433,-57.6293,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603025.XSHG,2015-08-21,82.22,73.2059,11.64,25.2,64.1,603025.XSHG,5.17,5.16,4.72,32.12,50.64,68.34,31.99,32.12,4.81,14.33,-1.85,86.51,0.92,99.89,87.56,23.82,75.25,-0.81,10.72,-0.81,10.72,-12.51,26.21,-1.97,39.7,-2.96,38.7,1,1,1
0,603025.XSHG,2015-10-28,83.54,73.696,11.72,25.43,218.04,603025.XSHG,3.98,3.73,3.62,33.3,50.81,72.42,29.83,33.3,6.3,16.12,-1.01,73.56,5.99,93.7,100.58,29.37,106.48,-6.45,-24.83,-6.45,-24.83,-11.78,-29.91,-18.7,-22.07,-18.48,-21.58,-1,-1,-1
0,603025.XSHG,2016-04-25,100.14,83.5385,12.88,29.27,-148.56,603025.XSHG,3.17,2.45,2.9,28.41,48.94,77.48,29.81,28.41,6.86,17.83,-0.3,63.89,20.69,77.43,131.61,80.09,355.63,-2.25,-4.47,-2.25,-4.47,9.61,-4.51,7.02,-18.5,7.79,-19.04,-1,1,1
0,603025.XSHG,2016-04-25,83.74,82.5172,10.77,24.48,-124.23,603025.XSHG,3.36,2.98,3.07,28.39,51.53,71.68,32.02,28.39,5.04,16.78,-0.2,84.94,11.08,88.83,94.18,36.07,127.36,5.33,32.48,5.33,32.48,20.18,42.27,17.49,32.42,17.12,32.99,-1,1,1
0,603025.XSHG,2016-08-02,77.91,80.9734,9.94,23.8,-86.66,603025.XSHG,4.9269,4.205,4.4833,40.5156,51.8214,66.9082,40.025,40.5156,4.5351,13.3303,-0.2998,71.2852,14.9354,85.3483,85.2117,16.7798,50.7068,-4.0025,0.9028,-4.0025,0.9028,20.1005,26.1361,21.0857,43.9783,21.532,43.9319,-1,-1,-1
0,603025.XSHG,2016-10-25,70.93,78.5855,10.38,23.37,-199.15,603025.XSHG,2.8226,2.6467,2.6026,27.7412,52.8605,69.8274,30.8047,27.7412,4.484,16.7127,-0.2998,93.7035,1.9628,93.7702,106.8189,36.2474,120.1333,5.0515,-17.7349,5.0515,-17.7349,8.4935,-36.686,-12.4802,-43.6728,-13.2201,-44.0064,1,1,1
0,603025.XSHG,2017-01-20,86.69,94.1434,11.96,27.4,200.54,603025.XSHG,5.197,4.3346,4.7737,40.1454,52.5754,68.2655,39.2244,40.1454,3.7465,13.0013,-0.182,68.5947,16.1896,83.4047,97.5197,50.9787,160.6412,44.8085,31.6813,44.8085,31.6813,90.5103,67.6735,104.6424,90.5613,105.5957,91.8191,-1,-1,-1
0,603025.XSHG,2017-04-25,62.21,62.2132,9.76,21.54,-107.15,603025.XSHG,3.8919,3.6645,3.5416,28.7303,52.2669,70.3199,31.3028,28.7303,4.5287,16.0075,-0.1296,88.8075,4.8551,94.1585,82.9412,23.3841,78.7868,12.5103,2.9318,12.5103,2.9318,9.9965,-17.8561,13.8425,-26.3361,13.1551,-26.8041,-1,-1,-1
0,603025.XSHG,2017-08-10,48.1052,49.426,8.5738,16.5863,-241.4249,603025.XSHG,8.4321,7.9791,7.5247,41.8308,53.5906,59.6375,49.1285,41.8308,2.7635,8.398,-0.0894,83.6865,4.6914,94.6284,74.2109,20.8199,51.5822,63.8824,46.975,63.8824,46.975,101.1563,130.6717,69.2024,113.9928,68.8883,114.824,1,1,1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,603026.XSHG,2015-08-20,109.79,109.7935,3.53,0.91,-4172.4399,603026.XSHG,1.03,0.99,0.66,1.67,7.54,98.9,1.13,1.67,1.41,2.28,1.27,91.24,2.68,95.36,117.69,7.25,658.3,,32.63,,32.63,,-69.77,,-41.66,,-49.32,-1,1,1
0,603026.XSHG,2015-10-29,159.2,89.3502,2.87,0.99,13.36,603026.XSHG,0.82,0.79,0.61,1.42,5.59,98.22,1.78,1.42,1.91,1.35,0.21,97.76,0.0,96.72,114.8,9.83,553.41,-32.14,2.55,-32.14,2.55,-47.71,60.84,-45.36,-12.5,-54.72,-20.55,1,1,1
0,603026.XSHG,2016-03-15,691.16,201.3357,6.4,2.52,995.94,603026.XSHG,-0.08,-0.06,0.09,0.2,6.48,99.38,0.47,0.2,1.87,1.77,0.31,141.7,-34.12,,112.43,15.08,2426.98,6.79,6.29,6.79,6.29,111.96,-71.78,106.18,-85.41,97.15,-109.78,-1,1,1
0,603026.XSHG,2016-04-27,151.23,151.2345,4.93,1.93,127.91,603026.XSHG,2.91,2.89,1.96,4.84,10.09,94.23,5.77,4.84,1.75,1.48,0.54,99.52,0.0,99.32,119.4,16.66,288.73,29.05,-10.73,29.05,-10.73,49.82,991.78,64.59,2109.23,69.37,4398.6802,1,1,1
0,603026.XSHG,2016-08-26,141.14,193.4992,6.12,2.34,233.21,603026.XSHG,4.3713,4.3702,3.1319,7.0637,12.7786,91.5992,8.4008,7.0637,1.7819,1.9087,0.1557,99.9053,,99.9746,111.8889,8.1495,97.0086,4.7778,7.6768,4.7778,7.6768,676.8254,56.7556,343.4065,57.1778,421.5589,56.0707,-1,-1,-1
0,603026.XSHG,2016-10-28,76.02,191.0644,5.78,2.28,-32.27,603026.XSHG,2.304,2.2847,1.7192,4.0698,10.2961,95.172,4.828,4.0698,1.9884,1.6654,0.2701,99.1998,,99.1603,117.35,5.6224,116.455,-2.1946,-4.2721,-2.1946,-4.2721,165.7173,-44.9847,179.4972,-44.845,256.0252,-45.7665,-1,-1,-1
0,603026.XSHG,2017-04-27,59.76,182.5655,5.47,2.2,-625.27,603026.XSHG,2.2962,2.3055,1.9786,3.9521,11.9006,94.4725,5.5275,3.9521,2.0265,2.7136,0.0259,99.64,,100.4072,45.3155,-11.2987,-204.4099,12.1569,21.8919,12.1569,21.8919,1213.9376,39.5515,2166.9651,18.3666,3796.4363,1.5919,-1,-1,-1
0,603026.XSHG,2017-04-27,51.72,158.493,4.73,1.9,-541.05,603026.XSHG,2.9039,2.8962,2.4089,4.8427,9.5025,93.9455,6.0545,4.8427,1.4426,1.2108,0.304,99.7001,,99.7337,99.9755,-0.7474,-12.3448,29.1065,2.7573,29.1065,2.7573,35.4576,12.5544,29.2022,25.9114,11.8388,30.0602,-1,-1,-1
0,603026.XSHG,2017-08-18,32.6869,33.5938,3.973,1.4164,-139.0237,603026.XSHG,2.7452,2.6793,2.0302,3.5191,8.1184,96.3441,3.7265,3.5191,1.6183,1.4066,0.4648,95.6826,,97.5985,91.6782,8.6195,235.767,44.7934,20.7599,44.7934,20.7599,-35.7715,-25.6729,-27.8649,-12.2457,-32.8665,-6.3154,-1,-1,-1
