,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,000776.XSHE,2006-04-12,31.87,31.8652,2.2,5.79,-226.59,000776.XSHE,1.75,1.75,0.94,,0.0,,,,,13.8618,,,0.0,,,82.06,,,,,,72.31,115.63,74.83,451.2,73.18,752.68,1,1,1
0,000776.XSHE,2006-08-04,95.12,95.1234,6.34,17.28,-676.42,000776.XSHE,3.31,3.31,2.04,,0.0,,,,,-5.19,,,0.0,,,65.56,,,,,,7.35,117.98,5.52,117.72,6.28,92.9,-1,1,1
0,000776.XSHE,2006-10-18,95.12,95.1234,6.34,17.28,-676.42,000776.XSHE,0.04,0.04,-0.39,,0.0,,,,,23.4282,,,0.0,,,-2.25,,,,,,-109.03,-106.2,-128.01,-119.36,-98.57,-98.91,-1,-1,-1
0,000776.XSHE,2007-03-16,124.51,124.5102,8.29,22.61,-885.39,000776.XSHE,-0.03,-0.03,0.38,,0.0,,,,,25.6361,,,0.0,,,72.36,,,,,,-36.61,317.49,130.21,199.08,-113.18,-173.24,-1,-1,-1
0,000776.XSHE,2007-04-17,124.51,173.4975,7.9,22.61,-885.39,000776.XSHE,0.84,0.84,0.29,,0.0,,,,,22.5462,,,0.0,,,85.27,,,,,,-52.54,61.45,-68.15,-23.74,-47.18,3518.1101,-1,-1,-1
0,000776.XSHE,2007-07-20,201.49,173.4975,7.87,23.05,111.29,000776.XSHE,2.93,2.93,1.83,,0.0,,,,,12.912,,,0.0,,,46.69,,,,,,-8.98,318.07,-8.9,522.75,-2.51,256.03,-1,-1,-1
0,000776.XSHE,2007-10-17,205.53,173.4975,7.58,23.69,143.91,000776.XSHE,1.33,1.33,0.73,,0.0,,,,,15.4028,,,0.0,,,-32.77,,,,,,691.78,-59.69,285.85,-60.5,3951.3701,-54.55,1,1,1
0,000776.XSHE,2008-04-08,152.78,173.4975,7.52,25.34,-88.49,000776.XSHE,-0.57,-0.57,-0.02,,0.0,,,,,13.8586,,,0.0,,,11.2,,,,,,-79.66,-92.52,-106.47,-103.45,-2271.78,-142.88,1,1,1
0,000776.XSHE,2008-04-15,152.78,171.2907,7.58,25.34,-88.49,000776.XSHE,0.89,0.89,0.62,,0.0,,,,,12.0837,,,0.0,,,73.09,,,,,,35.33,974.05,94.76,2396.4399,10.5,259.25,-1,1,1
0,000776.XSHE,2008-08-07,168.07,171.2907,7.43,27.07,-134.46,000776.XSHE,1.87,1.87,1.31,,0.0,,,,,5.5521,,,0.0,,,64.98,,,,,,-32.89,107.32,-33.77,111.77,-34.27,111.77,1,1,1
0,000776.XSHE,2008-10-18,215.01,171.2907,7.43,27.68,-330.91,000776.XSHE,2.34,2.34,1.66,,0.0,,,,,11.2848,,,0.0,,,48.5,,,,,,21.52,-27.0,113.1,27.1,83.79,27.1,1,1,1
0,000776.XSHE,2009-04-08,164.09,171.2907,7.28,28.51,110.69,000776.XSHE,-0.25,-0.25,-0.18,,0.0,,,,,29.9179,,,0.0,,,38.85,,,,,,-570.14,-128.92,-548.03,-110.48,55.06,-110.48,-1,-1,-1
0,000776.XSHE,2009-04-16,164.09,153.826,7.23,28.51,110.69,000776.XSHE,0.72,0.72,0.55,50.54,0.0,,56.49,50.54,,15.5101,,60.65,0.0,,,55.29,0.0,,,,,-17.57,288.31,-15.09,400.91,-15.09,400.91,-1,-1,-1
0,000776.XSHE,2009-08-10,158.14,153.826,7.15,34.81,86.29,000776.XSHE,1.06,1.06,0.81,43.79,0.0,,58.87,43.79,,17.8631,,66.11,0.0,,,38.37,0.0,,39.06,,39.06,-36.85,58.84,-41.01,47.11,-41.01,47.11,1,1,1
0,000776.XSHE,2009-10-17,188.61,153.826,7.06,36.73,97.61,000776.XSHE,1.3,1.3,1.0,51.15,0.0,,60.36,51.15,,15.5689,,92.82,0.0,,,59.43,0.0,,5.6,,5.6,1.33,17.12,-42.9,23.03,-42.9,23.03,-1,-1,-1
0,000776.XSHE,2010-02-09,253.57,153.826,7.5,37.92,94.49,000776.XSHE,-6.09,-6.09,-4.59,43.9,0.0,,58.44,43.9,,72.3279,,60.83,0.0,,,74.04,0.0,,9.0,,9.0,-1509.49,-559.44,-2385.3601,-556.36,-2385.3601,-556.36,1,1,1
0,000776.XSHE,2010-04-28,-18044.7207,-18044.7246,8.6,2771.95,6948.3701,000776.XSHE,10.57,10.57,1.68,46.2,0.0,,59.16,46.2,,35.9912,,75.0,24.85,,,189.68,426.85,3.17,-35.54,3.17,-35.54,8.04,6013.6899,-5.71,5804.2202,-6.07,5528.0498,-1,-1,-1
0,000776.XSHE,2010-08-17,-1208.09,-10004.9961,4.67,695.71,-8.29,000776.XSHE,9.18,9.18,1.75,48.38,0.0,,57.46,48.38,,37.6371,,93.72,1.85,,,-1002.5,-1778.9399,-37.95,-16.36,-37.95,-16.36,-39.42,-18.75,-31.43,-12.4,-30.69,-11.47,-1,1,1
0,000776.XSHE,2010-10-26,-193.36,-10141.4277,4.36,-86.88,-3.27,000776.XSHE,12.03,12.03,2.69,45.73,0.0,,60.48,45.73,,36.2359,,49.61,51.4,,,-340.8,-1147.38,-11.5,50.6,-11.5,50.6,-11.33,58.49,-20.88,42.33,-19.89,42.37,-1,-1,-1
0,000776.XSHE,2011-04-07,-196.8,-17261.8672,6.87,-108.77,-2.3,000776.XSHE,13.14,13.14,2.79,32.84,0.0,,49.16,32.84,,47.3035,,24.0,75.2,,,385.29,3240.21,33.35,64.24,33.35,64.24,12.17,33.5,-0.25,17.94,0.49,17.79,-1,-1,-1
0,000776.XSHE,2011-04-28,-142.7,23.9872,4.84,-78.87,-1.67,000776.XSHE,3.38,3.38,0.76,38.5,0.0,,49.44,38.5,,45.3769,,65.22,34.61,,,-908.43,-2812.54,-12.75,-57.83,-12.75,-57.83,-27.08,-57.59,-27.29,-50.55,-23.47,-48.45,-1,1,1
0,000776.XSHE,2011-08-23,25.74,24.4354,5.05,9.87,-2.83,000776.XSHE,3.48,3.48,0.81,43.78,0.0,,55.34,43.78,,39.333,,82.63,16.16,,,-479.86,-1036.6899,-6.66,-10.52,-6.66,-10.52,-10.1,0.17,-15.54,1.76,-12.02,1.77,-1,1,1
