,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,300467.XSHE,2015-08-28,196.25,197.6231,28.62,67.45,947.97,300467.XSHE,5.26,5.26,3.83,28.69,72.29,65.65,34.36,28.69,12.62,27.05,-2.49,99.95,0.05,99.99,103.47,20.39,59.37,-9.35,-1.85,-9.35,-1.85,-8.94,-21.58,-10.59,-22.07,-3.36,-17.99,-1,1,1
0,300467.XSHE,2015-10-26,145.23,145.0964,21.01,50.77,31.14,300467.XSHE,5.65,5.5,4.12,29.37,67.12,66.08,35.19,29.37,14.37,21.22,-3.37,93.68,3.51,97.41,114.0,41.32,121.81,2.34,3.96,2.34,3.96,-12.87,6.46,-11.21,6.41,-5.73,5.41,1,1,1
0,300467.XSHE,2016-04-23,245.19,241.3754,35.78,83.97,259.49,300467.XSHE,5.3,3.99,4.9,36.7,71.52,89.71,12.08,36.7,14.64,45.64,-1.28,26.57,4.63,75.29,118.84,36.79,357.52,-2.49,0.0,-2.49,0.0,-66.13,-65.66,22.1,24.96,0.89,-0.94,1,1,1
0,300467.XSHE,2016-04-26,198.06,197.639,28.9,67.83,209.61,300467.XSHE,3.93,3.19,2.83,43.11,67.86,75.42,32.33,43.11,11.56,29.99,-0.64,51.32,16.17,81.23,120.96,22.12,89.98,-7.64,-9.48,-7.64,-9.48,-30.58,142.18,10.18,6.33,4.44,21.97,1,1,1
0,300467.XSHE,2016-08-16,170.94,173.0857,22.48,60.94,131.03,300467.XSHE,0.5949,0.1192,-0.2719,-5.1478,66.9836,115.4584,-11.631,-5.1478,25.7631,56.6333,-1.2478,1598.3966,-395.7502,20.0378,119.7772,-48.1415,311.4266,-10.9085,-5.3239,-10.9085,-5.3239,-130.1556,-134.0614,-115.9841,-111.3053,-80.0491,-84.335,-1,-1,-1
0,300467.XSHE,2016-10-27,171.91,142.199,18.14,51.46,-33.88,300467.XSHE,3.1608,2.5981,1.6203,30.4827,69.2647,80.1947,26.1047,30.4827,14.7426,35.9002,-2.5037,53.3845,16.9799,82.1993,119.0703,49.4636,249.7494,-11.2395,3.5731,-11.2395,3.5731,-34.1519,332.4604,-7.8756,713.3046,5.8231,459.0891,-1,-1,-1
0,300467.XSHE,2017-03-31,146.3,123.0893,14.47,45.92,-246.96,300467.XSHE,0.6755,-0.2096,-0.8446,-14.856,64.5507,125.7197,-23.3973,-14.856,21.2561,48.4595,17.6187,255.4402,-23.0649,-31.0369,114.9717,70.1241,-272.6478,-2.5817,9.7505,-2.5817,9.7505,-288.6297,-198.3678,-139.4333,-153.4879,-75.452,-77.0198,-1,-1,-1
0,300467.XSHE,2017-04-21,198.75,198.7544,14.44,49.2,88.22,300467.XSHE,2.8569,2.3759,1.7033,31.5095,68.7021,81.64,29.9479,31.5095,11.2226,40.0724,-1.5955,47.6143,30.0519,83.1646,112.9983,-33.124,-180.4143,5.7026,-1.7818,5.7026,-1.7818,-2.0832,225.7165,-22.7421,308.3197,-10.8556,342.924,-1,-1,-1
0,300467.XSHE,2017-08-08,185.2816,176.2772,12.5497,43.026,154.4651,300467.XSHE,2.7119,2.4106,1.8832,31.3735,68.0837,95.6324,41.1296,31.3735,9.7756,46.8302,4.7671,12.0854,49.7337,88.8884,114.8115,43.8594,1004.1923,19.4516,6.9909,19.4516,6.9909,522.4057,46.9384,827.998,6.5291,453.3713,-2.7583,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,300468.XSHE,2015-08-13,102.15,102.1548,11.52,25.47,1105.51,300468.XSHE,3.49,3.49,3.25,25.03,54.24,72.09,27.91,25.03,0.38,27.0,-1.14,99.48,0.0,,95.34,22.45,80.44,,14.89,,14.89,,105.46,,99.45,,99.45,-1,1,1
0,300468.XSHE,2015-10-28,65.83,60.9251,6.87,15.56,12.76,300468.XSHE,1.28,1.26,1.19,11.11,43.58,88.69,11.31,11.11,2.47,31.68,-1.42,98.88,0.0,99.02,133.35,31.21,275.84,1.78,-17.02,1.78,-17.02,-46.29,-66.37,-43.93,-63.17,-43.93,-63.17,1,1,1
0,300468.XSHE,2016-04-23,114.45,98.5717,11.0,25.09,21.94,300468.XSHE,2.82,2.62,2.62,15.89,37.06,83.74,16.26,15.89,1.29,21.41,-1.8,92.26,0.0,92.71,106.33,51.85,318.87,-23.97,57.04,-23.97,57.04,-60.17,125.73,-58.55,124.71,-58.55,124.71,1,1,1
0,300468.XSHE,2016-04-23,86.38,123.8196,8.3,18.93,16.56,300468.XSHE,0.98,0.98,0.93,12.46,48.82,86.95,13.05,12.46,0.89,35.38,-1.1,99.98,0.0,99.98,76.45,-51.12,-391.83,-7.01,-37.89,-7.01,-37.89,-22.27,-50.17,-19.63,-51.3,-19.63,-51.3,1,1,1
0,300468.XSHE,2016-08-25,161.17,155.2927,10.1,26.59,23.23,300468.XSHE,1.7227,1.7105,1.5393,17.0625,49.3203,80.3369,19.6631,17.0625,0.7283,29.2316,-0.8838,99.3225,,99.2918,68.9728,-5.6136,-28.549,4.8117,29.4938,4.8117,29.4938,-26.1663,95.1611,-28.5423,77.3283,-28.5423,77.3283,-1,-1,-1
0,300468.XSHE,2016-10-29,143.71,123.2573,8.01,20.85,608.32,300468.XSHE,2.5722,2.5384,2.181,21.0846,55.4732,76.7953,23.2047,21.0846,1.2787,31.3711,-0.732,98.6917,,98.687,83.7019,13.9081,59.9368,55.8326,22.6897,55.8326,22.6897,217.4007,44.7874,192.5089,51.6115,192.5089,51.6115,-1,-1,-1
0,300468.XSHE,2017-04-26,101.55,114.0223,7.2,17.31,-1069.86,300468.XSHE,4.1631,3.9121,3.5421,26.1462,47.7252,74.5285,25.4715,26.1462,0.5018,23.3559,-1.4002,93.1505,,93.97,115.1606,60.4134,237.1799,34.2341,36.0306,34.2341,36.0306,110.259,49.3195,120.8434,68.6858,120.8434,68.6858,-1,-1,-1
0,300468.XSHE,2017-04-26,76.31,76.3121,7.19,15.72,-1069.45,300468.XSHE,1.4689,1.457,1.2337,13.1026,46.3845,86.1812,13.8188,13.1026,0.6082,32.5475,-1.2386,99.1033,,99.1889,68.8601,-34.4922,-249.6035,57.6038,-27.0756,57.6038,-27.0756,66.9276,-60.4371,65.7341,-63.4554,65.7341,-63.4554,-1,-1,-1
0,300468.XSHE,2017-07-25,58.311,62.1452,5.4271,11.6914,50.9496,300468.XSHE,1.7766,1.7806,1.4973,15.2481,53.5523,83.6657,16.3343,15.2481,0.5956,37.083,-0.84,100.2479,,100.2252,94.2316,9.1236,55.8552,29.274,6.2169,29.274,6.2169,7.3891,25.5524,15.5272,23.6091,15.5272,23.6091,-1,-1,-1
,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,300469.XSHE,2015-08-25,86.65,86.6489,10.53,8.31,-993.34,300469.XSHE,3.58,3.53,1.7,7.75,36.05,91.1,8.9,7.75,7.36,16.04,2.02,98.38,0.0,98.6,29.9,-50.16,-563.64,,356.03,,356.03,,139.35,,140.91,,139.69,1,1,1
0,300469.XSHE,2015-10-19,92.02,96.4971,11.72,8.08,25.97,300469.XSHE,4.31,4.27,2.34,14.25,50.27,84.43,15.57,14.25,10.11,19.96,2.29,97.69,0.0,99.07,72.44,-51.74,-332.36,-5.56,-20.17,-5.56,-20.17,203.06,39.66,182.8,46.78,93.21,23.17,1,1,1
0,300469.XSHE,2016-03-30,196.05,232.1411,27.27,19.68,62.73,300469.XSHE,16.2,10.35,6.98,17.98,38.84,88.03,11.97,17.98,5.86,14.64,1.3,59.94,0.0,63.89,131.89,79.45,663.8,10.78,146.11,10.78,146.11,-50.48,89.24,-18.13,210.54,-8.16,308.73,-1,-1,-1
0,300469.XSHE,2016-04-22,204.63,204.6319,22.92,17.87,64.15,300469.XSHE,-6.36,-6.39,-3.17,-55.03,45.6,164.74,-64.74,-55.03,34.82,71.33,3.31,100.59,0.0,,86.04,-371.93,574.48,64.96,-81.59,64.96,-81.59,-3.57,-199.58,-5.08,-156.36,-3.61,-151.85,1,1,1
0,300469.XSHE,2016-08-26,225.68,221.3483,26.42,18.66,66.49,300469.XSHE,2.9286,2.2214,1.265,6.1352,35.1555,95.1345,4.8655,6.1352,7.1568,17.8544,2.1245,66.4475,,75.8498,29.7207,-39.5993,-813.8735,29.6708,258.4685,29.6708,258.4685,-29.098,126.9395,2.6576,139.9619,15.7168,144.3296,-1,-1,-1
