code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
000002.XSHE,2017/3/27,11.78,12.52,2.29,0.99,8.26,11.9339,12.0048,2.1505,13.8224,32.1527,83.4156,18.8268,13.8224,1.4851,2.9404,0.7576,87.8775,11.8822,100.5942,65.5611,-2.7708,-16.7072,6.4419,192.0584,6.4419,192.0584,11.8802,294.9971,3.9559,306.6143,13.2737,338.3344,-1,1,1
000002.XSHE,2017/4/28,10.81,10.8067,2,0.94,8.19,0.6116,0.5947,0.1292,5.9667,29.8041,93.0105,8.3866,5.9667,5.4243,7.948,1.9894,82.6764,16.5268,97.2358,375.4975,-51.2336,-733.0136,27.2249,-84.9385,27.2249,-84.9385,-5.3196,-93.2907,-11.2538,-93.4984,-16.5406,-94.5502,1,1,1
000004.XSHE,2017/4/11,276.64,3023.4126,39.01,15.07,35.83,22.6689,1.0676,6.351,27.4202,47.4233,102.9817,35.048,27.4202,2.4364,17.9693,-0.5132,-11.1434,142.1288,4.7097,73.6434,19.3977,-650.5643,122.1265,-39.2617,122.1265,-39.2617,3032.0852,7.6061,3385.9292,9.8304,2277.8594,110.033,-1,-1,-1
000004.XSHE,2017/4/29,222.8,2424.1169,31.42,12.14,28.86,-0.9797,-0.9796,-0.7553,-15.5494,17.1983,115.5471,-15.5471,-15.5494,7.8693,24.1787,-2.5487,99.9852,,99.9894,144.9755,-91.8771,590.9584,-19.3809,-84.4967,-19.3809,-84.4967,39.0409,-106.8772,40.7848,-108.7916,50.7638,-104.7883,-1,-1,-1
000005.XSHE,2017/4/27,66.03,-129.5401,5.58,18.4,64.45,-1.9581,-0.769,-0.9876,-18.9713,33.4135,108.681,-15.7852,-18.9713,3.3615,28.6254,5.472,47.4689,38.8467,39.2726,165.3892,-67.0605,772.494,242.3785,-18.1743,242.3785,-18.1743,28.8011,-243.5827,-3.0016,-336.8799,1.1466,-469.7629,-1,-1,-1
000005.XSHE,2017/4/27,61.15,-119.9587,5.17,17.04,59.69,-0.7938,-1.1864,-0.3778,-13.5855,34.0668,120.6045,-20.6045,-13.5855,5.8593,38.9303,9.3087,151.6656,,149.4571,68.6916,-255.3789,1239.4307,64.5492,-45.6104,64.5492,-45.6104,-108.4548,29.005,-51.1776,61.0512,-49.0313,59.6198,-1,-1,-1
000006.XSHE,2017/3/30,50.52,30.6116,2.96,5.15,11.63,14.2051,13.9355,5.0435,30.9113,22.8028,87.5993,33.8355,30.9113,1.4421,1.2098,1.4237,36.0804,62.3658,98.102,42.0582,8.6602,69.8362,64.0742,698.9131,64.0742,698.9131,267.0012,3474.6646,352.4823,4877.8203,374.5985,5256.6514,1,1,1
000006.XSHE,2017/4/27,14.36,14.3568,2.23,3.33,11.51,2.0537,2.0711,0.8518,9.6408,22.6901,87.2547,13.0717,9.6408,0.3737,1.3863,2.6749,98.0375,2.5113,100.8464,76.0886,2.7923,21.9082,205.3457,-47.228,205.3457,-47.228,161.5464,-79.6125,125.5046,-83.5412,112.7892,-84.3609,-1,-1,-1
000006.XSHE,2017/8/18,14.267,15.2758,2.4442,2.8699,7.2329,2.8802,2.8635,1.1471,21.4781,37.352,71.3815,29.2806,21.4781,2.1309,2.3893,3.7862,97.5938,2.2578,99.4203,142.4581,109.2871,381.8752,44.3207,-39.919,44.3207,-39.919,148.807,34.581,168.6477,33.8505,173.5663,40.3325,-1,-1,-1
000007.XSHE,2017/4/19,151.39,422.9465,15.3,155.65,303.31,16.0705,-0.4612,10.3472,521.2517,55.7248,231.885,547.0676,521.2517,,120.9558,32.6705,-24.3383,125.2951,-2.8699,132.6186,72.4072,-54.9018,11.4838,-3.7766,11.4838,-3.7766,867.1491,1859.178,101.9064,522.063,182.8169,818.1335,-1,-1,-1
000007.XSHE,2017/4/29,141.64,392.9129,14.32,145.62,283.76,0.0747,0.2555,-0.8457,-36.2921,80.2736,94.7298,-45.0566,-36.2921,,78.9042,-0.1322,-11.3922,108.7874,341.9515,107.1409,-221.4675,-4202.2617,41.3201,9.4757,41.3201,9.4757,-126.9361,-109.0165,-136.3779,-107.6222,-96.3874,-99.5433,-1,-1,-1
000008.XSHE,2017/4/1,86.08,141.005,4.55,17.15,25.25,5.1171,5.1741,4.0539,35.8392,55.018,64.7163,36.4215,35.8392,4.5821,12.3398,0.2633,86.1363,2.7777,101.1139,76.4747,4.9897,14.1416,63.2953,121.8727,63.2953,121.8727,272.5741,47.2322,257.0328,75.6397,239.3928,74.3087,-1,-1,-1
000008.XSHE,2017/4/27,80.04,132.23,4.02,15.95,23.48,0.1525,0.1233,0.1183,4.727,39.2168,107.4527,-2.7817,4.727,13.2074,36.4426,0.6495,-116.6482,73.109,80.8448,189.5618,-91.3709,1226.0179,-4.7968,-76.6927,-4.7968,-76.6927,-1.1861,-101.7801,-16.873,-96.9259,-19.4206,-96.937,-1,-1,-1
000009.XSHE,2017/4/27,70.63,28.2217,4.97,3.78,-50.52,0.5109,-0.8439,0.2581,2.387,27.2977,103.4732,2.2155,2.3771,10.0785,8.9543,7.0106,-92.3514,151.2616,-165.1595,100.1399,-1.6952,48.6076,27.5265,58.893,28.1768,59.3815,-15.9863,-75.793,-39.7601,-67.8909,-67.4225,-83.3017,-1,-1,-1
000009.XSHE,2017/4/27,61.68,24.98,4.34,3.3,-44.12,0.7437,-0.208,0.3984,6.9608,33.186,96.804,6.8784,6.9178,8.9749,12.0243,7.0761,38.4115,44.2586,-27.9637,112.9534,4.9539,154.0473,-8.2353,-42.896,-8.2035,-43.014,-21.1392,77.2894,-18.0963,66.1813,11.0584,45.4141,-1,-1,-1
000010.XSHE,2017/4/22,123.7,188.5169,2.96,5.82,185.61,0.8126,0.786,0.3714,5.1308,26.1412,129.0247,7.9277,5.1308,2.7624,11.4775,3.5979,-349.4443,444.8909,96.7205,72.4168,30.6413,-105.5697,-15.6369,134.7871,-15.6369,134.7871,118.4686,13832.3154,-41.7826,487.595,-41.5528,509.7817,-1,-1,-1
000010.XSHE,2017/4/28,105.63,166.2087,2.53,4.97,158.49,-1.158,-1.1192,-0.591,-24.439,22.3979,129.3649,-27.8255,-24.439,14.2978,27.2,16.4674,101.7317,-5.3331,96.648,1097.1849,745.2132,-2537.7666,-13.4044,-69.6087,-13.4044,-69.6087,19.6593,-206.6701,22.6229,-244.7606,22.0095,-242.2627,-1,-1,-1
000011.XSHE,2017/3/31,108.78,71.1816,5.49,11.56,5.54,16.2501,16.4067,5.4428,23.672,70.75,67.229,32.7906,23.672,1.2939,1.9013,-0.5447,100.8573,0.0604,100.9636,30.3936,9.8713,30.122,246.5328,870.1087,246.5328,870.1087,3209.5601,14818.666,228.0591,18631.2344,228.0591,18631.2344,1,1,1
000011.XSHE,2017/4/29,27.24,27.2413,4.01,4.69,5.02,11.7746,11.7642,4.6434,29.0365,74.7318,61.4572,38.6265,29.0365,0.4768,2.4036,-0.6952,99.7079,0.2165,99.9123,33.6667,-24.3553,-63.1903,429.7262,-32.0893,429.7262,-32.0893,200670.7656,-20.003,52167.6289,-16.6994,52167.6289,-16.6994,1,1,1
000012.XSHE,2017/4/28,24.8,37.6698,2.95,2.73,185.35,1.0502,1.6724,0.5047,3.4897,25.2765,94.2091,4.3055,3.4897,3.967,8.2375,2.3719,123.013,-31.5553,159.2386,118.5895,26.4547,456.8284,19.388,6.8861,19.388,6.8861,-42.8443,-60.2532,-38.344,-66.2272,-40.2367,-66.6061,-1,-1,-1
000012.XSHE,2017/4/28,23.94,36.2414,2.84,2.64,178.95,2.1545,1.8903,1.0244,7.7136,23.6715,91.9863,8.0137,7.7136,3.0746,8.2451,2.9458,87.8633,,87.739,103.9208,19.0797,238.0873,17.2051,-6.8159,17.2051,-6.8159,-15.778,73.4438,-13.9598,105.97,-16.9426,105.4169,-1,-1,-1
